# t,winchvel,rotvel,lightbright
52622,-0.68063,1,0.690081
52705,-0.676853,1,0.688704
52788,-0.673076,1,0.687328
52871,-0.669299,1,0.685952
52954,-0.665521,1,0.684575
53037,-0.661744,1,0.683199
53120,-0.657967,1,0.681823
53203,-0.65419,1,0.680446
53286,-0.650412,1,0.67907
53369,-0.646635,1,0.677694
53452,-0.642858,1,0.676317
53535,-0.639081,1,0.674941
53618,-0.635303,1,0.673565
53701,-0.631526,1,0.672189
53784,-0.627749,1,0.670812
53867,-0.623972,1,0.669436
53950,-0.620195,1,0.66806
54033,-0.616417,1,0.666683
54116,-0.61264,1,0.665307
54199,-0.608863,1,0.663931
54282,-0.605086,1,0.662554
54365,-0.601308,1,0.661178
54448,-0.597531,1,0.659802
54531,-0.593754,1,0.658425
54614,-0.589977,1,0.657049
54697,-0.586199,1,0.655673
54780,-0.582422,1,0.654296
54863,-0.578645,1,0.65292
54946,-0.574868,1,0.651544
55029,-0.571091,1,0.650167
55112,-0.567313,1,0.648791
55195,-0.563536,1,0.647415
55278,-0.559759,1,0.646039
55361,-0.555982,1,0.644662
55444,-0.552204,0.998359,0.643286
55527,-0.548427,0.99579,0.64191
55610,-0.54465,0.993221,0.640533
55693,-0.540873,0.990652,0.639157
55776,-0.537095,0.988083,0.637781
55859,-0.533318,0.985514,0.636404
55942,-0.529541,0.982944,0.635028
56025,-0.525764,0.980375,0.633652
56108,-0.521986,0.977806,0.632275
56191,-0.518209,0.975237,0.630899
56274,-0.514432,0.972668,0.629523
56357,-0.510655,0.970099,0.628146
56440,-0.506877,0.96753,0.62677
56523,-0.5031,0.96496,0.625394
56606,-0.499323,0.962391,0.624017
56689,-0.495546,0.959822,0.622641
56772,-0.491769,0.957253,0.621265
56855,-0.487991,0.954684,0.619889
56938,-0.484214,0.952115,0.618512
57021,-0.480437,0.949545,0.617136
57104,-0.47666,0.946976,0.61576
57187,-0.472882,0.944407,0.614383
57270,-0.469105,0.941838,0.613007
57353,-0.465328,0.939269,0.611631
57436,-0.461551,0.9367,0.610254
57519,-0.457773,0.93413,0.608878
